rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0085.jpg,34.0,0.4113,0.3736,0.375,0.56,5,3,False,False
77,frame_0297.jpg,118.8,0.4101,0.3552,0.375,0.6,6,3,False,False
78,frame_0290.jpg,116.0,0.4086,0.3471,0.25,0.8,7,2,False,False
79,frame_0210.jpg,84.0,0.406,0.39,0.25,0.68,3,2,False,False
80,frame_0122.jpg,48.8,0.4053,0.3456,0.375,0.6,3,3,False,False
81,frame_0167.jpg,66.8,0.4051,0.3452,0.375,0.6,5,3,False,False
82,frame_0291.jpg,116.4,0.4017,0.3174,0.25,0.84,6,2,False,False
83,frame_0233.jpg,93.2,0.4001,0.4793,0.375,0.24,9,3,False,False
84,frame_0117.jpg,46.8,0.3979,0.3358,0.5,0.4,7,4,False,False
85,frame_0223.jpg,89.2,0.397,0.43,0.5,0.16,6,4,False,False
86,frame_0285.jpg,114.0,0.391,0.317,0.375,0.6,5,3,False,False
87,frame_0090.jpg,36.0,0.3901,0.4113,0.375,0.36,7,3,False,False
88,frame_0296.jpg,118.4,0.389,0.297,0.375,0.64,5,3,False,False
89,frame_0015.jpg,6.0,0.3877,0.3004,0.125,1.0,5,1,False,False
90,frame_0081.jpg,32.4,0.3877,0.3374,0.25,0.72,4,2,False,False
91,frame_0333.jpg,133.2,0.3877,0.4433,0.5,0.08,7,4,False,False
92,frame_0389.jpg,155.6,0.3871,0.3512,0.625,0.12,10,5,False,False
93,frame_0091.jpg,36.4,0.3869,0.4958,0.25,0.32,2,2,False,False
94,frame_0396.jpg,158.4,0.3857,0.4074,0.5,0.16,8,4,False,False
95,frame_0367.jpg,146.8,0.3854,0.3637,0.625,0.08,7,5,False,False
96,frame_0168.jpg,67.2,0.3821,0.3152,0.375,0.56,6,3,False,False
97,frame_0177.jpg,70.8,0.3818,0.3836,0.5,0.2,8,4,False,False
98,frame_0211.jpg,84.4,0.3817,0.3575,0.25,0.64,3,2,False,False
99,frame_0294.jpg,117.6,0.3812,0.3244,0.25,0.72,6,2,False,False
100,frame_0274.jpg,109.6,0.3809,0.3977,0.5,0.16,6,4,False,False
101,frame_0184.jpg,73.6,0.38,0.428,0.5,0.08,6,4,False,False
102,frame_0027.jpg,10.8,0.3792,0.2834,0.125,1.0,6,1,False,False
103,frame_0303.jpg,121.2,0.3751,0.3812,0.375,0.36,7,3,False,False
104,frame_0021.jpg,8.4,0.3749,0.2748,0.125,1.0,4,1,False,False
105,frame_0018.jpg,7.2,0.3719,0.2687,0.125,1.0,5,1,False,False
106,frame_0393.jpg,157.2,0.3718,0.4276,0.5,0.04,4,4,False,False
107,frame_0115.jpg,46.0,0.3707,0.3134,0.5,0.32,6,4,False,False
108,frame_0301.jpg,120.4,0.3707,0.3404,0.375,0.44,7,3,False,False
109,frame_0329.jpg,131.6,0.3694,0.4068,0.5,0.08,10,4,False,False
110,frame_0005.jpg,2.0,0.3693,0.2636,0.125,1.0,7,1,False,False
111,frame_0293.jpg,117.2,0.3688,0.2836,0.25,0.76,6,2,False,False
112,frame_0119.jpg,47.6,0.3685,0.395,0.25,0.48,7,2,False,False
113,frame_0002.jpg,0.8,0.3674,0.2597,0.125,1.0,9,1,False,False
114,frame_0023.jpg,9.2,0.3673,0.2596,0.125,1.0,3,1,False,False
115,frame_0205.jpg,82.0,0.3673,0.2967,0.25,0.72,4,2,False,False
116,frame_0386.jpg,154.4,0.3668,0.3376,0.5,0.24,6,4,False,False
117,frame_0373.jpg,149.2,0.3639,0.3639,0.5,0.16,8,4,False,False
118,frame_0299.jpg,119.6,0.3631,0.3683,0.25,0.52,6,2,False,False
119,frame_0032.jpg,12.8,0.3629,0.2507,0.125,1.0,7,1,False,False
120,frame_0116.jpg,46.4,0.3629,0.3568,0.375,0.36,9,3,False,False
121,frame_0013.jpg,5.2,0.3614,0.2478,0.125,1.0,4,1,False,False
122,frame_0030.jpg,12.0,0.36,0.245,0.125,1.0,8,1,False,False
123,frame_0368.jpg,147.2,0.3586,0.4762,0.375,0.04,10,3,False,False
124,frame_0398.jpg,159.2,0.3585,0.4711,0.25,0.24,9,2,False,False
125,frame_0020.jpg,8.0,0.3581,0.2412,0.125,1.0,4,1,False,False
126,frame_0010.jpg,4.0,0.3574,0.2398,0.125,1.0,3,1,False,False
127,frame_0204.jpg,81.6,0.3569,0.2919,0.25,0.68,4,2,False,False
128,frame_0206.jpg,82.4,0.3568,0.2596,0.25,0.76,5,2,False,False
129,frame_0097.jpg,38.8,0.3562,0.3803,0.5,0.08,8,4,False,False
130,frame_0328.jpg,131.2,0.3518,0.3716,0.5,0.08,11,4,False,False
131,frame_0395.jpg,158.0,0.3513,0.3546,0.5,0.12,5,4,False,False
132,frame_0391.jpg,156.4,0.3442,0.3724,0.5,0.04,11,4,False,False
133,frame_0082.jpg,32.8,0.3425,0.2629,0.25,0.68,7,2,False,False
134,frame_0022.jpg,8.8,0.3422,0.2093,0.125,1.0,4,1,False,False
135,frame_0024.jpg,9.6,0.3411,0.2071,0.125,1.0,3,1,False,False
136,frame_0026.jpg,10.4,0.3398,0.2046,0.125,1.0,5,1,False,False
137,frame_0172.jpg,68.8,0.3392,0.2934,0.375,0.4,7,3,False,False
138,frame_0086.jpg,34.4,0.3382,0.3184,0.25,0.52,5,2,False,False
